code,country,EIU21VA,EIU21PV,EIU21GE,EIU21RQ,EIU21RL,EIU21CC,EIU20VA,EIU20PV,EIU20GE,EIU20RQ,EIU20RL,EIU20CC,EIU19VA,EIU19PV,EIU19GE,EIU19RQ,EIU19RL,EIU19CC,EIU18VA,EIU18PV,EIU18GE,EIU18RQ,EIU18RL,EIU18CC,EIU17VA,EIU17PV,EIU17GE,EIU17RQ,EIU17RL,EIU17CC,EIU16VA,EIU16PV,EIU16GE,EIU16RQ,EIU16RL,EIU16CC,EIU15VA,EIU15PV,EIU15GE,EIU15RQ,EIU15RL,EIU15CC,EIU14VA,EIU14PV,EIU14GE,EIU14RQ,EIU14RL,EIU14CC,EIU13VA,EIU13PV,EIU13GE,EIU13RQ,EIU13RL,EIU13CC,EIU12VA,EIU12PV,EIU12GE,EIU12RQ,EIU12RL,EIU12CC,EIU11VA,EIU11PV,EIU11GE,EIU11RQ,EIU11RL,EIU11CC,EIU10VA,EIU10PV,EIU10GE,EIU10RQ,EIU10RL,EIU10CC,EIU09VA,EIU09PV,EIU09GE,EIU09RQ,EIU09RL,EIU09CC,EIU08VA,EIU08PV,EIU08GE,EIU08RQ,EIU08RL,EIU08CC,EIU07VA,EIU07PV,EIU07GE,EIU07RQ,EIU07RL,EIU07CC,EIU06VA,EIU06PV,EIU06GE,EIU06RQ,EIU06RL,EIU06CC,EIU05VA,EIU05PV,EIU05GE,EIU05RQ,EIU05RL,EIU05CC,EIU04VA,EIU04PV,EIU04GE,EIU04RQ,EIU04RL,EIU04CC,EIU03VA,EIU03PV,EIU03GE,EIU03RQ,EIU03RL,EIU03CC,EIU02VA,EIU02PV,EIU02GE,EIU02RQ,EIU02RL,EIU02CC,EIU00VA,EIU00PV,EIU00GE,EIU00RQ,EIU00RL,EIU00CC,EIU98VA,EIU98PV,EIU98GE,EIU98RQ,EIU98RL,EIU98CC,EIU96VA,EIU96PV,EIU96GE,EIU96RQ,EIU96RL,EIU96CC
DZA,Algeria,0.282,0.200,0.000,0.150,0.344,0.250,0.282,0.300,0.125,0.150,0.375,0.250,0.294,0.300,0.125,0.150,0.375,0.250,0.300,0.400,0.125,0.200,0.375,0.250,0.334,0.450,0.250,0.250,0.344,0.250,0.334,0.450,0.250,0.250,0.344,0.250,0.354,0.450,0.125,0.200,0.344,0.250,0.379,0.450,0.125,0.200,0.344,0.250,0.379,0.450,0.125,0.200,0.344,0.250,0.379,0.400,0.125,0.200,0.313,0.250,0.360,0.350,0.125,0.200,0.313,0.250,0.360,0.300,0.125,0.250,0.313,0.250,0.354,0.400,0.125,0.250,0.313,0.250,0.354,0.600,0.125,0.350,0.344,0.250,0.346,0.500,0.125,0.425,0.375,0.250,0.346,0.450,0.125,0.350,0.375,0.250,0.375,0.450,0.125,0.350,0.375,0.250,0.313,0.450,0.000,0.400,0.406,0.000,0.313,0.400,0.000,0.400,0.469,0.000,0.375,0.250,0.125,0.450,0.500,0.000,0.250,0.350,0.000,0.400,0.125,0.000,0.250,0.150,0.125,0.400,0.125,0.000,0.313,0.150,0.375,0.350,0.125,0.250
ECU,Ecuador,0.473,0.400,0.250,0.500,0.500,0.250,0.494,0.450,0.250,0.350,0.406,0.250,0.504,0.500,0.250,0.300,0.406,0.250,0.501,0.550,0.250,0.250,0.375,0.250,0.489,0.550,0.125,0.150,0.375,0.250,0.478,0.550,0.125,0.150,0.375,0.250,0.481,0.550,0.125,0.050,0.281,0.250,0.481,0.600,0.125,0.150,0.281,0.000,0.481,0.600,0.125,0.150,0.281,0.000,0.477,0.450,0.125,0.150,0.188,0.000,0.474,0.450,0.125,0.150,0.188,0.000,0.476,0.450,0.125,0.150,0.188,0.000,0.470,0.400,0.125,0.100,0.188,0.000,0.470,0.350,0.000,0.300,0.188,0.000,0.470,0.350,0.000,0.300,0.234,0.000,0.470,0.350,0.000,0.300,0.281,0.000,0.375,0.350,0.000,0.400,0.344,0.000,0.375,0.300,0.000,0.450,0.375,0.000,0.438,0.350,0.000,0.450,0.375,0.000,0.438,0.350,0.000,0.450,0.344,0.000,0.313,0.350,0.000,0.550,0.375,0.000,0.313,0.500,0.250,0.600,0.344,0.000,0.313,0.250,0.000,0.550,0.344,0.000
EGY,"Egypt, Arab Rep.",0.240,0.550,0.250,0.450,0.531,0.250,0.240,0.500,0.250,0.400,0.500,0.250,0.247,0.550,0.250,0.350,0.531,0.500,0.324,0.650,0.250,0.350,0.531,0.500,0.324,0.500,0.250,0.300,0.500,0.500,0.322,0.500,0.250,0.300,0.531,0.500,0.315,0.500,0.250,0.450,0.531,0.250,0.283,0.450,0.250,0.550,0.500,0.250,0.320,0.250,0.250,0.500,0.469,0.250,0.384,0.300,0.250,0.650,0.438,0.250,0.385,0.300,0.375,0.650,0.469,0.250,0.310,0.500,0.375,0.650,0.656,0.250,0.351,0.550,0.375,0.650,0.688,0.250,0.320,0.500,0.375,0.650,0.656,0.250,0.320,0.475,0.375,0.600,0.625,0.250,0.320,0.300,0.375,0.550,0.625,0.250,0.250,0.250,0.375,0.550,0.594,0.250,0.313,0.350,0.375,0.400,0.594,0.250,0.250,0.350,0.250,0.400,0.594,0.250,0.250,0.450,0.250,0.500,0.594,0.250,0.313,0.700,0.500,0.400,0.500,0.250,0.313,0.700,0.500,0.350,0.500,0.250,0.313,0.550,0.500,0.350,0.500,0.250
ERI,Eritrea,0.102,0.300,0.125,0.100,0.219,0.000,0.108,0.350,0.125,0.100,0.219,0.000,0.119,0.400,0.125,0.100,0.219,0.000,0.119,0.400,0.125,0.100,0.219,0.000,0.119,0.350,0.125,0.100,0.219,0.000,0.119,0.350,0.125,0.100,0.219,0.000,0.119,0.350,0.125,0.100,0.219,0.000,0.122,0.350,0.125,0.100,0.219,0.500,0.120,0.350,0.125,0.100,0.219,0.500,0.120,0.350,0.125,0.100,0.219,0.500,0.117,0.350,0.125,0.100,0.219,0.500,0.116,0.350,0.125,0.100,0.219,0.500,0.116,0.400,0.125,0.100,0.219,0.500,0.116,0.400,0.125,0.100,0.219,0.500,0.178,0.400,0.125,0.100,0.219,0.500,0.178,0.400,0.125,0.100,0.219,0.500,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ESH,Western Sahara,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ESP,Spain,0.741,0.750,0.750,0.750,0.719,0.500,0.750,0.750,0.750,0.750,0.719,0.500,0.758,0.750,0.750,0.750,0.750,0.500,0.748,0.750,0.750,0.750,0.750,0.500,0.748,0.800,0.750,0.800,0.781,0.500,0.759,0.750,0.750,0.800,0.781,0.500,0.759,0.750,0.750,0.800,0.781,0.500,0.746,0.750,0.750,0.800,0.781,0.500,0.745,0.600,0.625,0.800,0.781,0.750,0.745,0.600,0.625,0.800,0.781,0.750,0.745,0.650,0.625,0.800,0.781,0.750,0.752,0.700,0.625,0.800,0.781,0.750,0.766,0.700,0.625,0.800,0.781,0.750,0.766,0.700,0.625,0.800,0.813,0.750,0.761,0.700,0.625,0.775,0.813,0.750,0.761,0.700,0.625,0.750,0.813,0.750,0.750,0.900,1.000,0.800,0.781,0.750,0.750,0.800,0.750,0.800,0.781,0.750,0.813,0.850,1.000,0.750,0.906,0.750,0.750,0.800,1.000,0.750,0.906,0.750,0.750,0.800,1.000,0.750,0.906,0.750,0.750,0.800,1.000,0.750,0.875,0.750,0.813,0.800,1.000,0.750,0.906,0.750
EST,Estonia,0.767,0.750,0.875,0.850,0.813,0.750,0.767,0.700,0.875,0.850,0.813,1.000,0.770,0.600,0.875,0.850,0.781,1.000,0.774,0.600,0.875,0.800,0.781,1.000,0.765,0.600,0.750,0.900,0.813,0.500,0.768,0.600,0.750,0.900,0.813,0.500,0.768,0.600,0.750,0.900,0.813,0.500,0.762,0.600,0.625,0.900,0.813,0.500,0.724,0.650,0.500,0.850,0.781,0.500,0.724,0.650,0.500,0.850,0.781,0.500,0.724,0.650,0.500,0.850,0.781,0.500,0.728,0.650,0.500,0.850,0.781,0.500,0.728,0.650,0.500,0.850,0.781,0.500,0.728,0.700,0.500,0.850,0.781,0.500,0.731,0.775,0.500,0.850,0.781,0.500,0.731,0.850,0.500,0.850,0.781,0.500,0.688,0.850,0.500,0.850,0.781,0.500,0.750,0.850,0.500,0.850,0.719,0.500,0.750,0.800,0.500,0.850,0.719,0.500,0.750,0.850,0.500,0.850,0.719,0.500,0.688,0.750,0.500,0.850,0.625,0.500,0.688,0.700,0.375,0.850,0.563,0.500,0.625,0.700,0.500,0.850,0.563,0.250
ETH,Ethiopia,0.259,0.050,0.125,0.250,0.406,0.250,0.294,0.100,0.125,0.250,0.469,0.250,0.297,0.300,0.125,0.250,0.469,0.250,0.293,0.300,0.125,0.250,0.469,0.250,0.296,0.250,0.125,0.250,0.469,0.250,0.305,0.250,0.125,0.200,0.438,0.500,0.317,0.300,0.125,0.200,0.438,0.250,0.311,0.300,0.250,0.150,0.438,0.250,0.317,0.300,0.250,0.150,0.375,0.250,0.311,0.300,0.375,0.200,0.313,0.250,0.315,0.250,0.375,0.250,0.344,0.250,0.309,0.250,0.375,0.350,0.344,0.250,0.351,0.250,0.375,0.350,0.344,0.250,0.351,0.250,0.375,0.350,0.344,0.250,0.361,0.250,0.375,0.300,0.344,0.250,0.361,0.250,0.375,0.300,0.344,0.250,0.188,0.400,0.000,0.200,0.156,0.000,0.125,0.400,0.000,0.200,0.156,0.000,0.125,0.400,0.000,0.150,0.156,0.000,0.125,0.400,0.000,0.150,0.156,0.000,0.125,0.400,0.000,0.150,0.156,0.000,0.125,0.400,0.000,0.150,0.156,0.000,0.125,0.400,0.000,0.150,0.156,0.000
FIN,Finland,0.901,0.800,1.000,0.900,0.969,1.000,0.898,0.800,1.000,0.900,0.969,1.000,0.900,0.700,1.000,0.900,0.969,1.000,0.895,0.700,1.000,0.850,0.969,1.000,0.889,0.850,1.000,0.900,0.969,1.000,0.889,0.800,1.000,0.900,0.969,1.000,0.889,0.750,1.000,0.950,0.969,1.000,0.889,0.750,1.000,0.950,0.969,0.750,0.889,0.850,1.000,0.950,0.969,0.750,0.891,0.850,1.000,0.900,0.969,0.750,0.891,0.800,1.000,0.900,0.969,0.750,0.897,0.900,1.000,0.900,0.969,0.750,0.900,0.900,1.000,0.900,0.969,0.750,0.900,0.900,0.750,0.850,0.969,1.000,0.900,0.900,0.750,0.850,0.969,1.000,0.900,0.900,0.750,0.850,0.969,1.000,0.938,1.000,1.000,0.900,1.000,1.000,0.938,1.000,0.875,0.900,1.000,1.000,0.813,0.950,1.000,0.900,1.000,1.000,0.813,0.950,1.000,0.900,1.000,1.000,0.813,0.950,1.000,0.850,1.000,1.000,0.750,0.950,1.000,0.850,1.000,1.000,0.813,0.950,1.000,0.850,1.000,1.000
FJI,Fiji,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.572,..,..,..,..,..,0.585,..,..,..,..,..,0.585,..,..,..,..,..,0.585,..,..,..,..,..,0.564,..,..,..,..,..,0.569,..,..,..,..,..,0.561,..,..,..,..,..,0.361,..,..,..,..,..,0.367,..,..,..,..,..,0.367,#N/A,#N/A,#N/A,#N/A,#N/A,0.362,#N/A,#N/A,#N/A,#N/A,#N/A,0.511,..,..,..,..,..,0.511,..,..,..,..,..,0.566,..,..,..,..,..,0.566,..,..,..,..,..,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
FLK,Falkland Islands,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
FRA,France,0.806,0.800,0.875,0.700,0.875,0.750,0.806,0.800,0.875,0.700,0.875,0.750,0.812,0.800,0.875,0.800,0.875,0.750,0.796,0.800,0.875,0.800,0.875,0.750,0.796,0.800,0.875,0.800,0.875,0.750,0.802,0.800,0.875,0.800,0.875,0.750,0.802,0.750,0.875,0.800,0.875,0.750,0.808,0.750,0.875,0.800,0.875,0.750,0.802,0.700,0.875,0.800,0.875,0.750,0.800,0.750,0.750,0.800,0.875,0.750,0.795,0.750,0.750,0.850,0.875,0.750,0.795,0.800,0.750,0.850,0.938,0.750,0.810,0.800,0.750,0.850,0.938,0.750,0.810,0.850,0.750,0.850,0.938,0.750,0.810,0.850,0.750,0.850,0.938,0.750,0.810,0.850,0.750,0.850,0.938,0.750,0.875,0.800,0.875,0.800,0.906,0.750,0.813,0.750,0.875,0.800,0.906,0.750,0.563,0.900,0.875,0.750,0.906,0.750,0.625,0.900,0.875,0.700,0.906,0.750,0.625,0.900,0.875,0.700,0.906,0.750,0.625,0.900,0.875,0.700,0.906,0.750,0.625,0.900,0.875,0.700,0.906,0.750
FRO,Faeroe Islands,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
FSM,"Micronesia, Fed. Sts.",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
GAB,Gabon,0.358,0.450,0.250,0.300,0.406,0.250,0.365,0.500,0.125,0.300,0.406,0.250,0.368,0.500,0.125,0.300,0.406,0.250,0.368,0.500,0.250,0.300,0.406,0.250,0.368,0.500,0.250,0.300,0.406,0.250,0.375,0.500,0.250,0.300,0.406,0.250,0.376,0.500,0.250,0.300,0.406,0.250,0.376,0.600,0.250,0.300,0.406,0.250,0.376,0.600,0.250,0.400,0.406,0.250,0.366,0.600,0.250,0.400,0.406,0.250,0.330,0.600,0.250,0.400,0.406,0.250,0.321,0.600,0.250,0.400,0.406,0.250,0.306,0.500,0.250,0.400,0.406,0.250,0.338,0.650,0.250,0.400,0.406,0.250,0.277,0.575,0.250,0.375,0.359,0.250,0.261,0.550,0.250,0.350,0.313,0.250,0.313,0.500,0.125,0.450,0.438,0.250,0.313,0.450,0.125,0.450,0.438,0.250,0.313,0.550,0.125,0.450,0.438,0.250,0.313,0.550,0.125,0.450,0.438,0.250,0.313,0.550,0.000,0.450,0.438,0.250,0.250,0.400,0.000,0.450,0.313,0.000,0.188,0.300,0.000,0.450,0.219,0.000
GBR,United Kingdom,0.811,0.750,0.875,0.900,0.906,1.000,0.833,0.700,0.875,0.850,0.906,1.000,0.832,0.700,0.875,0.850,0.938,1.000,0.833,0.750,0.875,0.850,0.938,1.000,0.833,0.750,0.875,0.800,0.906,1.000,0.793,0.650,0.875,0.800,0.906,1.000,0.791,0.750,0.875,0.900,0.906,1.000,0.791,0.650,0.750,0.850,0.906,0.750,0.791,0.650,0.750,0.850,0.906,0.750,0.786,0.650,0.750,0.850,0.906,0.750,0.750,0.650,0.750,0.850,0.906,0.750,0.783,0.750,0.750,0.850,0.969,0.750,0.783,0.700,0.750,0.850,0.969,0.750,0.814,0.850,0.875,0.950,0.969,0.750,0.810,0.900,0.875,1.000,0.969,0.750,0.810,0.900,0.875,1.000,0.969,0.750,0.813,0.900,1.000,0.850,0.906,1.000,0.875,0.850,1.000,0.900,0.906,1.000,0.625,0.900,1.000,0.850,0.906,1.000,0.625,0.900,1.000,0.850,0.906,1.000,0.625,0.900,1.000,0.850,0.906,1.000,0.625,0.900,1.000,0.850,0.906,1.000,0.625,0.900,1.000,0.850,0.906,1.000
GEO,Georgia,0.537,0.400,0.750,0.800,0.563,0.750,0.547,0.450,0.750,0.800,0.594,0.750,0.552,0.450,0.750,0.800,0.594,0.750,0.556,0.450,0.750,0.800,0.594,0.750,0.578,0.450,0.750,0.800,0.594,0.750,0.578,0.500,0.625,0.750,0.594,0.500,0.575,0.500,0.625,0.750,0.594,0.500,0.572,0.450,0.625,0.750,0.594,0.500,0.579,0.400,0.625,0.700,0.531,0.250,0.558,0.350,0.625,0.700,0.500,0.250,0.518,0.250,0.625,0.700,0.500,0.250,0.511,0.250,0.625,0.700,0.500,0.250,0.512,0.050,0.625,0.700,0.500,0.250,0.512,0.100,0.625,0.700,0.500,0.250,0.511,0.325,0.563,0.700,0.484,0.250,0.464,0.400,0.375,0.700,0.438,0.500,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
GHA,Ghana,0.575,0.700,0.250,0.450,0.469,0.500,0.575,0.750,0.250,0.500,0.469,0.500,0.582,0.750,0.250,0.500,0.469,0.500,0.582,0.750,0.250,0.500,0.469,0.500,0.553,0.750,0.375,0.500,0.469,0.500,0.556,0.600,0.375,0.350,0.438,0.750,0.562,0.600,0.375,0.350,0.469,0.500,0.535,0.600,0.375,0.400,0.469,0.500,0.535,0.600,0.375,0.400,0.438,0.500,0.520,0.650,0.250,0.400,0.438,0.500,0.520,0.650,0.250,0.400,0.438,0.500,0.520,0.700,0.250,0.400,0.438,0.500,0.486,0.700,0.250,0.400,0.438,0.500,0.486,0.600,0.250,0.400,0.500,0.500,0.486,0.625,0.250,0.400,0.500,0.500,0.486,0.650,0.250,0.400,0.500,0.500,0.313,0.450,0.250,0.400,0.438,0.250,0.250,0.450,0.250,0.400,0.438,0.250,0.313,0.450,0.250,0.400,0.531,0.250,0.313,0.450,0.250,0.400,0.531,0.250,0.313,0.500,0.250,0.400,0.531,0.250,0.188,0.500,0.250,0.400,0.281,0.250,0.250,0.550,0.250,0.400,0.438,0.250
GIB,Gibraltar,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
GIN,Guinea,0.208,0.250,0.000,0.200,0.156,0.250,0.248,0.400,0.000,0.300,0.156,0.250,0.251,0.500,0.000,0.300,0.125,0.250,0.251,0.500,0.000,0.300,0.125,0.000,0.251,0.550,0.000,0.300,0.125,0.000,0.251,0.600,0.000,0.300,0.125,0.000,0.251,0.550,0.000,0.300,0.063,0.000,0.213,0.350,0.000,0.300,0.063,0.000,0.205,0.200,0.000,0.300,0.063,0.000,0.202,0.200,0.000,0.300,0.094,0.000,0.202,0.250,0.000,0.300,0.094,0.000,0.202,0.200,0.000,0.300,0.094,0.000,0.167,0.150,0.000,0.300,0.094,0.000,0.136,0.200,0.000,0.300,0.188,0.000,0.132,0.250,0.000,0.350,0.250,0.000,0.226,0.250,0.000,0.350,0.281,0.250,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
GLP,Guadeloupe,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
